Ticker,Name,Currency,Exchange,Sector,Industry,Market_Cap,Start_Date,End_Date,Data_Points,Download_Date
EMAAR.AE,Emaar Properties PJSC,AED,DFM,Real Estate,Real Estate - Development,120207548416,2010-02-22,2025-10-07,3807,2025-10-07 16:17:52
DFM.AE,Dubai Financial Market P.J.S.C.,AED,DFM,Financial Services,Financial Data & Stock Exchanges,12953136128,2010-02-22,2025-10-07,3806,2025-10-07 16:17:56
DEWA.AE,Dubai Electricity and Water Authority (PJSC),AED,DFM,Utilities,Utilities - Diversified,136499994624,2022-04-12,2025-10-07,687,2025-10-07 16:17:59
AMANAT.AE,Amanat Holdings PJSC,AED,DFM,Financial Services,Asset Management,2803482880,2014-12-01,2025-10-07,2608,2025-10-07 16:18:03
DIB.AE,Dubai Islamic Bank P.J.S.C.,AED,DFM,Financial Services,Banks - Regional,67862573056,2010-02-22,2025-10-07,3806,2025-10-07 16:18:07
TABREED.AE,National Central Cooling Company PJSC,AED,DFM,Utilities,Utilities - Regulated Water,8450455040,2010-02-22,2025-10-07,3809,2025-10-07 16:18:11
TECOM.AE,TECOM Group PJSC,AED,DFM,Real Estate,Real Estate Services,16449999872,2022-07-06,2025-10-07,673,2025-10-07 16:18:15
SHUAA.AE,SHUAA Capital PSC,AED,DFM,Financial Services,Asset Management,900119616,2010-02-22,2025-10-07,3808,2025-10-07 16:18:19
GFH.AE,GFH Financial Group BSC,AED,DFM,Financial Services,Banks - Regional,6987077120,2010-02-22,2025-10-07,3808,2025-10-07 16:18:23
PARKIN.AE,PARKIN COMPANY PJS,AED,DFM,Industrials,Infrastructure Operations,16495325184,2024-03-21,2025-10-07,315,2025-10-07 16:18:26
SALIK.AE,Salik Company P.J.S.C.,AED,DFM,Industrials,Infrastructure Operations,44174999552,2022-10-03,2025-10-07,622,2025-10-07 16:18:30
EKTTITAB.AE,Ekttitab Holding Company K.S.C Public,AED,DFM,Financial Services,Asset Management,100271216,2010-02-22,2025-10-07,3830,2025-10-07 16:18:49
ALRAMZ.AE,Al Ramz Corporation Investment and Development P.J.S.C.,AED,DFM,Financial Services,Capital Markets,659899008,2011-06-19,2025-10-07,3492,2025-10-07 16:18:59
AIRARABIA.AE,Air Arabia PJSC,AED,DFM,Industrials,Airlines,18153461760,2010-02-22,2025-10-07,3807,2025-10-07 16:19:03
