entry_date,exit_date,entry_price,exit_price,position,pnl,net_pnl,return
2025-08-04,2025-08-05,629.22,631.23,158,317.57999999999856,316.86899999999855,0.003187279488890993
2025-08-05,2025-08-05,631.23,631.31,-158,-12.639999999988504,-13.350999999988504,-0.00013386562742570419
2025-08-05,2025-08-05,629.65,629.87,-159,-34.98000000000434,-35.69550000000434,-0.0003565472881760141
2025-08-05,2025-08-05,628.29,628.52,-159,-36.57000000000289,-37.28550000000289,-0.0003732352894364357
2025-08-05,2025-08-06,627.86,628.64,-159,-124.01999999999566,-124.73549999999567,-0.0012494823686808726
2025-08-06,2025-08-06,632.16,632.46,158,47.40000000001078,46.68900000001078,0.00046744495064551415
2025-08-07,2025-08-07,633.38,632.74,-158,101.11999999999784,100.40899999999785,0.0010033471217910045
2025-08-08,2025-08-08,635.9,635.755,157,-22.764999999997144,-23.471499999997143,-0.000235099858468284
2025-08-08,2025-08-08,636.83,636.455,157,-58.875,-59.5815,-0.0005959204183220011
2025-08-12,2025-08-12,636.88,639.345,-157,-387.005000000005,-387.711500000005,-0.0038774965456601427
2025-08-12,2025-08-12,641.035,642.05,155,157.32499999999789,156.6274999999979,0.0015763569851879953
2025-08-12,2025-08-13,642.42,644.525,155,326.2750000000028,325.57750000000283,0.0032696678185610947
2025-08-15,2025-08-15,645.31,644.26,-25,26.249999999998863,26.137499999998862,0.001620151555066487
2025-08-15,2025-08-15,643.4603,643.575,-25,-2.86750000000211,-2.98000000000211,-0.00018524841392714421
2025-08-15,2025-08-15,643.42,643.9401,-25,-13.00250000000176,-13.11500000000176,-0.0008153305772280478
2025-08-19,2025-08-19,640.905,641.565,-25,-16.500000000002046,-16.612500000002047,-0.0010368151286073316
2025-08-19,2025-08-20,640.32,639.0,-25,33.00000000000125,32.88750000000125,0.0020544415292354603
2025-08-20,2025-08-20,639.0,636.19,-25,70.24999999999864,70.13749999999864,0.004390453834115721
2025-08-20,2025-08-20,635.28,637.18,-25,-47.49999999999943,-47.61249999999943,-0.002997890693867235
2025-08-20,2025-08-20,636.45,636.7681,-25,-7.952499999998963,-8.064999999998964,-0.0005068740670908297
2025-08-20,2025-08-20,635.795,636.96,-25,-29.125000000001933,-29.237500000001933,-0.0018394293758209445
2025-08-21,2025-08-21,635.2799,635.76,-32,-15.363199999999779,-15.507199999999779,-0.0007628133677769328
2025-08-22,2025-08-22,637.33,642.735,-31,-167.55499999999915,-167.69449999999915,-0.008487753597037599
2025-08-22,2025-08-25,642.735,644.02,31,39.83499999999901,39.695499999999015,0.001992267419698582
